"ConditionID","d_A","d_B","d_AminusB"
"C1",3.34202500796846,-0.682636709477128,1.782728252277
"C2",0.444665565213317,-0.308594830430825,1.28196220447005
"C3",-0.223895112068711,-1.2226052855535,0.689501160583895
"C4",-0.576465853334819,0.97897853793514,-0.891386777141038
"C5",NA,NA,NA
"C6",-0.0622631769029615,-0.360779272498885,0.526700364555118
"C7",-2.90547908447272,0.660735036989976,-1.78994909296138
"C8",0.0933313831221348,-0.208742104282195,0.271376873174887
"C9",0.901478298363642,0.577360717165821,-0.516931868078624
"C10",-0.413158871298198,-0.145733681135659,-0.024738593366964
"C11",-0.374816195099617,-0.242530592882807,0.0832977810265203
"C12",0.970953935409355,0.399247782115245,-0.0788757676365947
