"SourceFile","Frame","Time","C7_to_A","C7_to_B","S2_to_A","S2_to_B","TrialNum","Mean_to_A_frame","Mean_to_B_frame"
"P2_Trial15.csv",1,0,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",2,0.01,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",3,0.02,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",4,0.03,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",5,0.04,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",6,0.05,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",7,0.06,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",8,0.07,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",9,0.08,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",10,0.09,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",11,0.1,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",12,0.11,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",13,0.12,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",14,0.13,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",15,0.14,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",16,0.15,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",17,0.16,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",18,0.17,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",19,0.18,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",20,0.19,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",21,0.2,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",22,0.21,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",23,0.22,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",24,0.23,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",25,0.24,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",26,0.25,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",27,0.26,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",28,0.27,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",29,0.28,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",30,0.29,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",31,0.3,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",32,0.31,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",33,0.32,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",34,0.33,1336.1076780977,2435.88881662254,NA,NA,15,1336.1076780977,2435.88881662254
"P2_Trial15.csv",35,0.34,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",36,0.35,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",37,0.36,1327.85816626096,2414.96610307197,NA,NA,15,1327.85816626096,2414.96610307197
"P2_Trial15.csv",38,0.37,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",39,0.38,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",40,0.39,1319.29087840616,2394.49166560543,NA,NA,15,1319.29087840616,2394.49166560543
"P2_Trial15.csv",41,0.4,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",42,0.41,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",43,0.42,NA,NA,NA,NA,15,NA,NA
"P2_Trial15.csv",44,0.43,NA,NA,NA,NA,15,NA,NA
