"SourceFile","Frame","Time","C7_to_A","C7_to_B","S2_to_A","S2_to_B","TrialNum","Mean_to_A_frame","Mean_to_B_frame"
"P2_Trial16.csv",1,0,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",2,0.01,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",3,0.02,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",4,0.03,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",5,0.04,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",6,0.05,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",7,0.06,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",8,0.07,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",9,0.08,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",10,0.09,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",11,0.1,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",12,0.11,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",13,0.12,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",14,0.13,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",15,0.14,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",16,0.15,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",17,0.16,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",18,0.17,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",19,0.18,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",20,0.19,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",21,0.2,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",22,0.21,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",23,0.22,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",24,0.23,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",25,0.24,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",26,0.25,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",27,0.26,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",28,0.27,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",29,0.28,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",30,0.29,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",31,0.3,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",32,0.31,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",33,0.32,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",34,0.33,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",35,0.34,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",36,0.35,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",37,0.36,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",38,0.37,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",39,0.38,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",40,0.39,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",41,0.4,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",42,0.41,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",43,0.42,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",44,0.43,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",45,0.44,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",46,0.45,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",47,0.46,NA,NA,NA,NA,16,NA,NA
"P2_Trial16.csv",48,0.47,NA,NA,NA,NA,16,NA,NA
